,Close
0,44.38
1,44.78
2,44.95
3,44.75
4,45.05
5,45.29
6,45.4
7,45.12
8,45.38
9,44.95
10,45.6
11,45.17
12,45.11
13,44.01
14,43.78
15,43.44
16,43.91
17,43.55
18,43.99
19,43.68
20,44.19
21,44.34
22,44.22
23,44.02
24,44.27
25,44.48
26,44.37
27,43.66
28,43.83
29,43.8
30,43.02
31,42.74
32,42.67
33,42.15
34,41.84
35,41.95
36,42.21
37,42.6
38,42.6
39,42.32
40,42.32
41,42.26
42,42.25
43,42.74
44,42.77
45,42.24
46,42.69
47,42.62
48,42.69
49,42.22
50,42.1
51,42.16
52,41.68
53,41.47
54,41.27
55,41.26
56,41.31
57,41.75
58,42.08
59,42.55
60,42.58
61,42.52
62,42.73
63,42.75
64,43.57
65,43.42
66,43.33
67,43.5
68,43.52
69,43.22
70,43.25
71,42.97
72,43.38
73,43.47
74,44.03
75,44.02
76,44.2
77,44.43
78,44.03
79,44.06
80,44.31
81,43.82
82,43.892
83,43.09
84,42.65
85,42.42
86,42.39
87,42.54
88,42.56
89,42.61
90,42.82
91,42.62
92,42.4
93,42.45
94,42.63
95,42.57
96,42.69
97,42.78
98,42.84
99,42.9
100,42.31
101,42.4
102,42.69
103,43.28
104,43.4
105,43.23
106,43.39
107,43.44
108,43.64
109,43.2
110,43.0
111,43.35
112,42.88
113,42.76
114,42.9
115,42.91
116,42.52
117,42.55
118,42.64
119,42.69
120,42.16
121,41.95
122,41.88
123,41.86
124,42.05
125,41.98
126,41.65
127,41.62
128,41.73
129,41.87
130,41.69
131,41.88
132,41.65
133,41.53
134,42.1
135,42.17
136,42.48
137,42.38
138,42.34
139,42.27
140,42.62
141,42.78
142,42.6
143,42.74
144,43.46
145,43.63
146,43.66
147,43.81
148,43.72
149,44.02
150,43.9
151,43.91
152,43.45
153,43.63
154,43.44
155,42.7
156,42.28
157,42.25
158,42.36
159,42.26
160,42.54
161,42.64
162,42.35
163,41.9
164,42.05
165,42.01
166,41.89
167,42.2
168,42.46
169,42.45
170,42.51
171,42.25
172,42.44
173,42.75
174,42.82
175,43.13
176,43.14
177,43.53
178,43.68
179,43.6
180,43.35
181,43.34
182,43.65
183,44.45
184,44.49
185,44.13
186,44.55
187,43.91
188,43.83
189,43.6
190,43.7
191,43.76
192,43.59
193,43.73
194,43.61
195,43.57
196,43.01
197,43.4
198,44.22
199,44.25
200,44.27
201,44.33
202,44.6
203,44.84
204,44.89
205,44.56
206,44.96
207,45.42
208,45.82
209,46.25
210,46.23
211,47.06
212,46.36
213,46.28
214,46.57
215,46.25
216,46.8
217,47.1
218,46.7
219,46.42
220,46.45
221,46.36
222,47.21
223,47.36
224,47.37
225,47.39
226,46.85
227,47.02
228,46.8
229,47.26
230,47.0
231,46.34
232,45.98
233,46.52
234,46.39
235,47.06
236,46.93
237,47.18
238,47.22
239,46.4
240,45.73
241,46.13
242,45.96
243,45.51
244,45.77
245,45.91
246,46.56
247,46.48
248,46.8
249,46.62
250,46.66
251,47.78
252,48.48
253,48.46
254,48.99
255,49.32
256,49.15
257,49.42
258,49.74
259,49.8
260,49.1
261,50.17
262,50.32
263,50.78
264,50.89
265,51.32
266,51.9
267,52.4
268,52.56
269,51.65
270,50.35
271,50.24
272,50.09
273,50.22
274,49.04
275,49.37
276,50.14
277,50.12
278,50.64
279,51.47
280,51.47
281,51.58
282,53.12
283,53.3
284,52.34
285,53.72
286,54.6
287,54.06
288,54.53
289,54.43
290,55.44
291,55.26
292,54.51
293,55.59
294,55.2
295,55.77
296,55.73
297,56.14
298,55.88
299,55.63
300,56.68
301,56.7
302,56.7
303,56.98
304,56.5
305,56.72
306,54.6
307,54.83
308,56.18
309,54.79
310,53.72
311,54.49
312,53.76
313,54.52
314,54.96
315,55.12
316,55.34
317,54.64
318,55.64
319,55.22
320,56.07
321,56.1
322,56.74
323,56.28
324,55.23
325,54.95
326,53.97
327,54.24
328,53.83
329,54.31
330,54.87
331,55.12
332,55.34
333,55.12
334,55.17
335,54.83
336,54.75
337,54.7
338,55.71
339,56.39
340,56.06
341,57.07
342,58.6
343,58.1
344,58.47
345,58.33
346,58.66
347,59.28
348,58.59
349,59.6
350,59.01
351,59.43
352,59.5
353,61.09
354,61.85
355,63.75
356,60.96
357,63.2
358,61.65
359,62.78
360,63.65
361,62.96
362,65.09
363,65.16
364,66.55
365,66.46
366,67.48
367,67.99
368,67.56
369,69.68
370,70.38
371,71.03
372,71.12
373,67.41
374,68.61
375,68.15
376,67.46
377,65.58
378,65.3
379,66.38
380,64.06
381,64.7
382,65.1
383,65.11
384,64.23
385,62.56
386,63.5
387,63.29
388,62.55
389,62.28
390,60.91
391,59.76
392,60.03
393,55.92
394,55.62
395,57.32
396,57.68
397,56.36
398,57.3
399,58.33
400,57.73
401,57.99
402,58.28
403,57.68
404,57.54
405,59.52
406,61.23
407,62.18
408,62.5
409,63.02
410,62.63
411,62.02
412,63.81
413,64.92
414,65.55
415,65.85
416,63.95
417,62.9
418,64.03
419,62.54
420,61.71
421,61.14
422,61.55
423,62.0
424,62.9
425,63.11
426,63.16
427,64.32
428,64.75
429,64.12
430,64.28
431,64.5
432,63.97
433,64.63
434,63.25
435,62.71
436,62.25
437,62.01
438,62.49
439,61.03
440,61.04
441,62.44
442,62.05
443,61.83
444,61.75
445,61.77
446,61.0
447,60.94
448,61.42
449,62.29
450,62.14
451,63.36
452,62.86
453,61.25
454,60.64
455,58.5
456,58.31
457,58.62
458,57.19
459,57.4
460,58.23
461,56.92
462,57.26
463,57.95
464,58.5
465,58.5
466,58.74
467,59.81
468,59.79
469,59.47
470,59.15
471,57.11
472,56.37
473,56.92
474,56.99
475,57.2
476,57.0
477,56.88
478,57.49
479,58.57
480,59.17
481,58.65
482,58.59
483,59.41
484,58.78
485,57.76
486,58.17
487,58.76
488,59.29
489,59.4
490,59.9
491,60.24
492,61.36
493,61.92
494,62.3
495,61.89
496,62.04
497,61.11
498,62.95
499,62.49
500,62.19
501,61.63
502,61.84
503,61.31
504,61.78
505,61.77
506,62.27
507,62.5
508,63.5
509,63.7
510,63.57
511,63.16
512,64.39
513,64.12
514,64.12
515,63.81
516,62.69
517,62.73
518,62.05
519,62.57
520,62.52
521,62.48
522,62.12
523,61.0
524,61.04
525,61.8
526,61.62
527,61.38
528,61.65
529,61.98
530,62.22
531,62.9
532,63.21
533,62.28
534,61.65
535,60.17
536,60.48
537,60.85
538,60.59
539,60.63
540,62.17
541,61.97
542,62.64
543,62.26
544,63.0
545,62.72
546,64.23
547,64.33
548,64.06
549,64.1
550,63.77
551,64.22
552,64.83
553,65.22
554,64.28
555,64.31
556,64.79
557,64.63
558,65.52
559,66.12
560,65.67
561,65.84
562,66.37
563,66.41
564,66.36
565,65.31
566,67.28
567,67.15
568,67.72
569,68.1
570,65.41
571,66.48
572,65.82
573,63.72
574,62.93
575,64.15
576,64.3
577,64.48
578,64.25
579,64.37
580,63.72
581,63.94
582,63.98
583,64.62
584,64.74
585,65.27
586,65.82
587,65.76
588,65.15
589,65.84
590,65.7
591,66.05
592,65.65
593,65.74
594,65.85
595,65.83
596,66.81
597,66.86
598,66.53
599,67.16
600,67.08
601,66.99
602,67.84
603,68.4
604,68.0
605,68.38
606,67.53
607,68.7
608,68.26
609,67.73
610,67.89
611,66.87
612,67.56
613,67.09
614,66.69
615,66.66
616,67.49
617,68.19
618,68.25
619,67.88
620,67.45
621,66.0
