,Close
0,68.02
1,68.2
2,67.84
3,68.82
4,69.79
5,70.75
6,71.85
7,71.09
8,72.81
9,71.01
10,70.64
11,69.54
12,68.7
13,69.62
14,71.5
15,72.34
16,70.22
17,68.32
18,68.0
19,67.88
20,68.4
21,69.77
22,70.3
23,69.11
24,66.63
25,66.7
26,65.7
27,66.74
28,65.57
29,66.28
30,67.77
31,66.1
32,67.8
33,67.75
34,68.32
35,67.73
36,66.82
37,68.9
38,68.74
39,68.76
40,67.3
41,67.12
42,68.06
43,67.08
44,65.18
45,65.79
46,66.16
47,66.25
48,65.54
49,65.29
50,66.35
51,67.0
52,66.89
53,67.7
54,68.08
55,68.31
56,69.51
57,69.77
58,69.93
59,71.0
60,70.77
61,69.85
62,69.56
63,70.08
64,71.14
65,73.25
66,73.22
67,71.65
68,70.75
69,69.85
70,69.1
71,69.52
72,70.17
73,69.0
74,69.17
75,69.68
76,68.5
77,69.52
78,70.15
79,71.12
80,70.56
81,69.81
82,72.0
83,71.3
84,71.17
85,69.6
86,69.73
87,68.59
88,68.21
89,67.18
90,66.05
91,66.18
92,67.42
93,67.05
94,65.95
95,66.75
96,66.55
97,64.88
98,64.19
99,64.85
100,64.8
101,63.75
102,63.31
103,62.2
104,61.94
105,60.9
106,60.04
107,58.76
108,59.0
109,58.15
110,58.06
111,58.32
112,56.25
113,55.05
114,55.89
115,54.64
116,55.67
117,55.42
118,57.16
119,56.65
120,56.81
121,55.31
122,53.24
123,54.04
124,54.59
125,54.35
126,54.6
127,53.67
128,52.65
129,53.43
130,53.65
131,54.72
132,53.99
133,52.85
134,53.9
135,52.75
136,52.37
137,52.84
138,54.7
139,53.65
140,54.0
141,51.98
142,52.1
143,52.12
144,51.5
145,52.68
146,53.45
147,52.6
148,53.4
149,54.5
150,53.3
151,52.35
152,52.14
153,52.5
154,50.59
155,50.94
156,50.97
157,51.98
158,51.31
159,51.8
160,52.3
161,52.71
162,54.14
163,54.58
164,55.05
165,54.2
166,54.3
167,53.89
168,53.86
169,53.58
170,53.0
171,52.55
172,52.88
173,53.73
174,54.3
175,53.16
176,54.0
177,54.05
178,53.34
179,52.92
180,51.64
181,51.35
182,51.3
183,51.6
184,49.4
185,47.35
186,47.83
187,47.49
188,47.3
189,45.28
190,44.34
191,44.63
192,43.4
193,44.22
194,43.23
195,44.43
196,43.84
197,45.65
198,46.1
199,45.27
200,46.28
201,44.97
202,47.36
203,48.24
204,47.84
205,49.34
206,49.1
207,49.21
208,48.25
209,49.75
210,49.99
211,48.37
212,49.36
213,48.45
214,48.35
215,49.35
216,48.67
217,49.86
218,50.33
219,50.46
220,50.9
221,49.95
222,51.18
223,51.24
224,50.98
225,49.62
226,50.32
227,51.29
228,51.29
229,50.11
230,49.35
231,48.94
232,49.14
233,48.67
234,48.42
235,48.7
236,48.46
237,48.8
238,50.18
239,50.57
240,51.17
241,51.2
242,52.0
243,53.62
244,53.35
245,53.56
246,52.46
247,52.33
248,52.0099
249,50.35
250,50.61
251,50.46
252,51.65
253,51.52
254,51.2
255,50.29
256,50.14
257,49.22
258,50.05
259,51.22
260,50.39
261,51.32
262,50.94
263,51.84
264,51.24
265,50.36
266,49.59
267,49.28
268,48.3
269,48.06
270,48.64
271,48.01
272,48.15
273,48.57
274,48.56
275,48.99
276,48.53
277,50.16
278,50.1
279,50.82
280,49.92
281,50.17
282,48.93
283,49.5
284,48.4
285,48.21
286,48.96
287,49.46
288,50.35
289,50.02
290,50.3112
291,50.65
292,49.06
293,49.84
294,49.56
295,50.09
296,51.1
297,51.53
298,52.14
299,52.12
300,51.65
301,51.6
302,51.89
303,51.96
304,51.12
305,51.88
306,52.47
307,53.0
308,53.53
309,53.54
310,54.15
311,54.68
312,54.35
313,54.72
314,54.66
315,54.74
316,55.54
317,55.76
318,55.64
319,56.58
320,57.08
321,57.0
322,56.38
323,55.16
324,57.44
325,56.22
326,57.74
327,57.5
328,58.53
329,57.76
330,57.7
331,56.44
332,54.2
333,54.36
334,54.27
335,53.78
336,53.64
337,53.85
338,54.23
339,55.13
340,53.58
341,54.0
342,53.54
343,52.43
344,52.35
345,52.65
346,53.64
347,54.33
348,54.03
349,55.55
350,55.5
351,55.78
352,56.75
353,57.26
354,57.63
355,57.76
356,58.79
357,58.96
358,60.0
359,60.17
360,59.87
361,60.67
362,62.05
363,61.82
364,62.65
365,62.14
366,61.82
367,61.07
368,61.7
369,63.44
370,62.55
371,61.59
372,61.63
373,61.29
374,62.61
375,62.28
376,60.76
377,61.4
378,62.4
379,63.59
380,64.0
381,65.89
382,66.98
383,66.63
384,68.17
385,67.14
386,66.54
387,65.83
388,67.98
389,70.12
390,71.17
391,72.5
392,69.54
393,73.27
394,72.17
395,74.35
396,73.54
397,75.34
398,74.48
399,74.08
400,74.77
401,72.77
402,70.93
403,72.6
404,72.3
405,73.9
406,74.49
407,77.34
408,76.44
409,76.76
410,76.25
411,74.3
412,71.8
413,71.64
414,69.91
415,70.7
416,69.4
417,68.69
418,71.02
419,69.43
420,69.36
421,70.26
422,73.9
423,73.17
424,72.26
425,71.89
426,71.11
427,72.15
428,72.1
429,73.8
430,73.95
431,75.91
432,76.25
433,75.89
434,75.76
435,78.47
436,78.37
437,77.31
438,75.5
439,76.06
440,75.25
441,74.02
442,73.09
443,74.25
444,72.78
445,71.85
446,71.03
447,71.54
448,70.55
449,69.5
450,70.93
451,71.9126
452,72.35
453,72.98
454,73.08
455,72.35
456,70.47
457,71.37
458,70.15
459,69.02
460,69.8
461,72.9
462,74.55
463,73.59
464,74.11
465,75.76
466,75.93
467,78.81
468,79.32
469,77.33
470,78.6
471,78.7362
472,80.1
473,78.92
474,81.48
475,80.42
476,81.32
477,79.4
478,83.3
479,83.89
480,83.73
481,85.63
482,86.34
483,86.92
484,87.21
485,86.51
486,83.3
487,85.8
488,82.29
489,81.3
490,80.26
491,81.47
492,84.81
493,85.73
494,84.37
495,81.36
496,81.06
497,83.78
498,83.65
499,84.88
500,86.93
501,87.19
502,88.9
503,88.18
504,88.48
505,89.64
506,91.44
507,92.15
508,92.37
509,93.79
510,94.38
511,95.08
512,95.18
513,93.2
514,95.66
515,95.69
516,92.99
517,92.5
518,90.38
519,93.4
520,96.74
521,98.38
522,99.8
523,100.65
524,102.12
525,100.11
526,101.71
527,100.22
528,100.21
529,102.27
530,102.8
531,104.3
532,108.31
533,105.63
534,106.95
535,104.26
536,105.92
537,102.26
538,103.06
539,103.05
540,100.65
541,98.98
542,103.95
543,112.17
544,109.05
545,107.02
546,110.99
547,111.27
548,109.2
549,108.99
550,108.68
551,110.89
552,106.91
553,109.14
554,110.92
555,110.95
556,108.5
557,113.12
558,113.75
559,113.66
560,114.59
561,116.84
562,116.82
563,114.95
564,109.92
565,109.65
566,114.34
567,117.39
568,117.48
569,112.39
570,109.25
571,105.53
572,104.44
573,106.67
574,103.32
575,100.02
576,101.46
577,99.27
578,100.54
579,98.04
580,102.13
581,99.99
582,101.04
583,97.52
584,95.59
585,95.42
586,96.4401
587,92.89
588,92.65
589,91.57
590,93.97
591,92.77
592,91.97
593,91.17
594,92.91
595,93.9
596,97.15
597,92.67
598,93.13
599,93.9
600,95.54
601,93.39
602,93.4
603,89.09
604,88.4495
605,86.99
606,86.0
607,85.93
608,82.35
609,83.1
610,81.42
611,81.11
612,76.14
613,75.0
614,77.8
615,79.34
616,82.97
617,87.6
618,86.25
619,84.8399
620,86.71
621,86.35
622,76.96
623,82.0
624,79.72
625,75.76
626,75.25
627,71.8
628,72.55
629,72.23
630,69.47
631,66.39
632,67.6
633,65.3
634,60.91
635,59.44
636,59.15
637,61.65
638,58.77
639,54.86
640,56.6
641,53.0
642,50.96
643,53.0
644,55.79
645,53.84
646,55.46
647,52.49
648,57.278
649,53.64
650,50.13
651,50.08
652,51.1
653,48.25
654,45.9
655,49.0
656,46.18
657,45.0
658,44.55
659,43.4
660,39.55
661,41.0
662,44.13
663,41.36
664,44.54
665,42.09
666,39.89
667,38.5
668,38.05
669,35.41
670,34.25
671,36.12
672,34.45
673,35.81
674,38.64
675,38.1
676,36.841
677,36.44
678,34.81
679,32.73
680,33.06
681,30.63
682,30.0
683,29.024
684,29.1
685,30.92
686,30.2
687,33.1
688,35.63
689,37.3
690,37.25
691,33.27
692,33.2
693,32.37
694,30.65
695,31.84
696,31.23
697,30.18
698,29.86
699,28.66
700,31.03
701,30.02
702,32.33
703,32.14
704,29.5
705,29.75
706,29.22
707,29.22
708,28.4
709,28.87
710,28.27
711,28.81
712,28.2
713,28.25
714,26.91
715,26.08
716,26.13
717,25.6
718,23.46
719,22.86
720,24.28
721,24.35
722,23.32
723,24.44
724,26.0
725,27.23
726,27.05
727,24.48
728,25.39
729,27.61
730,26.56
731,27.99
732,28.65
733,27.83
734,26.3
735,28.231
736,27.63
737,28.25
738,29.44
739,29.61
740,30.36
741,30.76
742,31.78
743,31.65
744,31.21
745,32.02
746,30.75
747,28.7
748,29.05
749,28.58
750,30.98
751,30.93
752,30.23
753,28.94
754,29.49
755,30.69
756,29.68
757,29.21
758,29.31
759,29.29
760,29.45
761,27.22
762,27.33
763,27.34
764,27.88
765,28.9
766,28.08
767,27.85
768,28.56
769,28.63
770,29.62
771,30.56
772,30.15
773,31.43
774,31.49
775,32.49
776,32.29
777,32.63
778,32.19
779,32.4
780,31.3
781,32.71
782,32.79
783,33.87
784,33.38
785,33.7
786,34.11
787,34.582
788,35.34
789,36.4
790,37.43
791,37.61
792,36.25
793,37.69
794,37.4
795,37.54
796,38.19
797,38.97
798,39.68
799,39.43
800,38.52
801,38.51
802,38.7
803,38.85
804,37.97
805,36.25
806,37.41
807,37.09
808,38.05
809,37.51
810,38.67
811,37.93
812,37.46
813,36.05
814,34.71
815,33.81
816,32.57
817,32.77
818,32.377
819,32.37
820,32.11
821,33.47
822,33.56
823,34.24
824,34.83
825,34.94
826,34.81
827,35.79
828,36.221
829,36.32
830,35.76
831,33.47
832,35.49
833,36.81
834,37.92
835,37.97
836,38.2
837,38.27
838,37.65
839,37.71
840,36.86
841,37.35
842,37.8
843,36.03
844,35.52
845,36.86
846,38.12
847,37.67
848,38.23
849,38.3
850,37.17
851,36.95
852,37.72
853,37.66
854,36.05
855,35.27
856,35.18
857,35.32
858,35.13
859,36.94
860,36.94
861,37.37
862,35.82
863,35.71
864,36.7
865,37.43
866,37.49
867,37.12
868,35.85
869,36.98
870,35.13
871,33.97
872,34.0
873,34.51
874,34.31
875,36.19
876,36.23
877,35.87
878,36.18
879,36.54
880,35.96
881,36.68
882,37.16
883,37.69
884,38.15
885,38.61
886,39.91
887,40.45
888,40.76
889,40.39
890,41.33
891,41.47
892,40.91
893,40.13
894,40.59
895,39.46
896,40.9
897,39.32
898,39.97
899,40.62
900,40.99
901,40.8
902,39.7
903,40.5
904,40.41
905,40.55
906,39.27
907,39.12
908,40.29
909,40.48
910,40.67
911,39.66
912,39.42
913,39.38
914,38.58
915,39.5
916,38.5
917,39.15
918,39.62
919,38.84
920,38.52
921,38.33
922,37.49
923,36.85
924,35.87
925,35.73
926,35.48
927,35.58
928,35.93
929,36.74
930,36.36
931,36.66
932,36.16
933,36.56
934,37.74
935,38.2
936,38.86
937,38.84
938,39.14
939,39.28
940,40.27
941,40.41
942,40.97
943,40.72
944,40.93
945,40.54
946,39.63
947,39.21
948,39.06
949,38.4
950,38.93
951,37.89
952,37.24
953,36.34
954,36.81
955,36.5
956,36.08
957,36.16
958,35.64
959,36.72
960,37.5284
961,37.65
962,35.8
963,35.21
964,35.09
965,36.21
966,36.51
967,36.78
968,36.31
969,37.79
970,37.97
971,38.73
972,39.09
973,39.03
974,38.33
975,38.99
976,38.11
977,38.82
978,38.35
979,38.8
980,39.4
981,39.15
982,39.85
983,39.79
984,39.55
985,39.9
986,40.05
987,39.51
988,38.83
989,39.79
990,40.23
991,39.92
992,39.2
993,39.56
994,39.7
995,38.94
996,38.9
997,38.83
998,39.96
999,39.95
