,Close
0,24.97
1,24.96
2,25.12
3,25.1
4,25.0
5,25.12
6,25.16
7,25.08
8,25.02
9,24.96
10,24.96
11,24.87
12,25.0
13,24.85
14,24.78
15,24.776
16,24.93
17,24.85
18,24.84
19,24.84
20,24.87
21,24.79
22,24.8455
23,24.88
24,24.85
25,24.77
26,24.93
27,24.85
28,24.85
29,24.7
30,24.69
31,24.59
32,24.58
33,24.55
34,24.55
35,24.46
36,24.59
37,24.56
38,24.52
39,24.62
40,24.54
41,24.49
42,24.64
43,24.66
44,24.69
45,24.6
46,24.66
47,24.73
48,24.76
49,24.79
50,24.81
51,24.79
52,24.71
53,24.82
54,24.88
55,24.83
56,24.9
57,24.91
58,24.89
59,24.93
60,24.91
61,24.92
62,24.96
63,24.92
64,24.93
65,24.83
66,24.76
67,24.8
68,24.96
69,25.04
70,25.1
71,25.1499
72,25.2
73,25.23
74,25.09
75,25.06
76,25.07
77,25.07
78,25.1
79,24.95
80,25.03
81,24.99
82,25.03
83,25.0299
84,24.8811
85,24.75
86,24.71
87,24.83
88,24.7845
89,24.79
90,24.62
91,24.59
92,24.55
93,24.574
94,24.56
95,24.56
96,24.54
97,24.53
98,24.49
99,24.54
100,24.35
101,24.56
102,24.45
103,24.65
104,24.69
105,24.65
106,24.66
107,24.7
108,24.47
109,24.52
110,24.59
111,24.52
112,24.71
113,24.73
114,24.8
115,24.96
116,25.07
117,25.0
118,24.93
119,24.99
120,25.0001
121,24.93
122,24.89
123,24.78
124,24.76
125,24.76
126,24.736
127,24.85
128,24.79
129,24.83
130,24.736
131,24.67
132,24.53
133,24.5
134,24.53
135,24.41
136,24.48
137,24.48
138,24.52
139,24.44
140,24.43
141,24.246
142,24.26
143,24.25
144,24.19
145,24.27
146,24.23
147,24.0499
148,24.08
149,24.23
150,24.304
151,24.27
152,24.23
153,24.38
154,24.29
155,24.22
156,24.24
157,24.2
158,24.17
159,24.2
160,24.19
161,24.04
162,23.99
163,24.19
164,24.04
165,24.0
166,23.95
167,23.85
168,23.81
169,23.8579
170,23.75
171,23.83
172,23.6
173,23.72
174,23.64
175,23.52
176,23.5
177,23.5
178,23.72
179,23.63
180,23.64
181,23.7
182,23.67
183,23.6
184,23.38
185,23.26
186,23.434
187,23.31
188,23.44
189,23.51
190,23.64
191,23.82
192,23.77
193,23.6
194,23.89
195,23.88
196,23.92
197,23.75
198,23.7
199,23.7904
200,23.87
201,24.17
202,24.17
203,23.94
204,24.01
205,24.05
206,24.11
207,23.95
208,23.86
209,23.71
210,23.55
211,23.7
212,23.49
213,23.54
214,23.29
215,23.52
216,23.49
217,23.67
218,23.44
219,23.55
220,23.43
221,23.41
222,23.7
223,23.66
224,23.73
225,23.7674
226,23.7
227,23.5
228,23.56
229,23.41
230,23.4
231,23.26
232,23.44
233,23.53
234,23.49
235,23.74
236,23.74
237,23.97
238,23.9
239,23.85
240,23.77
241,23.81
242,23.73
243,23.73
244,23.69
245,23.7
246,23.53
247,23.26
248,23.38
249,23.22
250,23.0699
251,22.94
252,22.95
253,22.9
254,22.962
255,22.85
256,22.73
257,22.8
258,22.73
259,22.88
260,22.48
261,22.42
262,22.4599
263,22.27
264,22.53
265,22.55
266,22.79
267,23.13
268,22.62
269,22.3027
270,22.34
271,22.36
272,22.4
273,22.75
274,22.53
275,22.61
276,22.3899
277,22.55
278,22.55
279,22.4
280,22.5
281,22.42
282,22.42
283,22.45
284,22.23
285,22.35
286,22.5
287,22.33
288,22.25
289,22.4
290,22.65
291,22.71
292,22.68
293,22.77
294,22.61
295,22.8
296,22.92
297,22.81
298,22.73
299,22.8815
300,22.88
301,22.7299
302,22.7
303,22.8
304,22.828
305,22.81
306,22.59
307,22.71
308,22.48
309,22.32
310,22.46
311,22.33
312,22.46
313,22.56
314,22.74
315,22.71
316,22.68
317,22.8
318,22.86
319,22.75
320,22.4866
321,22.68
322,22.92
323,22.77
324,22.96
325,22.99
326,22.89
327,22.84
328,22.82
329,22.84
330,22.69
331,22.82
332,22.76
333,22.65
334,22.51
335,22.44
336,22.49
337,22.47
338,22.36
339,22.58
340,22.56
341,22.66
342,22.5
343,22.48
344,22.33
345,22.29
346,22.27
347,22.38
348,22.42
349,22.42
