Date,Open,High,Low,Close,Volume,CPI,GLD,IEF,USO,UUP,VIXY
2011-01-04,1272.949951171875,1274.1199951171875,1262.6600341796875,1270.199951171875,4796420000,25.4999,134.75,93.75,38.08,22.88,79.23
2011-01-05,1268.780029296875,1277.6300048828125,1265.3599853515625,1276.56005859375,4764920000,25.3601,134.37,92.74,38.52,23.11,77.5499
2011-01-06,1276.2900390625,1278.1700439453125,1270.4300537109375,1273.8499755859375,4844100000,25.45,133.83,93.22,37.68,23.2875,77.88
2011-01-07,1274.4100341796875,1276.8299560546875,1261.699951171875,1271.5,4963110000,25.33,133.58,93.84,37.67,23.3625,78.04
2011-01-10,1270.8399658203125,1271.52001953125,1262.1800537109375,1269.75,4036450000,25.395,134.12,94.16,38.17,23.2825,77.88
2011-01-11,1272.5799560546875,1277.25,1269.6199951171875,1274.47998046875,4050750000,25.4,134.91,93.79,38.88,23.265,75.726
2011-01-12,1275.6500244140625,1286.8699951171875,1275.6500244140625,1285.9599609375,4226940000,25.46,135.46,93.52,38.99,23.0375,72.35
2011-01-13,1285.780029296875,1286.699951171875,1280.469970703125,1283.760009765625,4310840000,25.432,134.05,94.15,38.65,22.8,71.5
2011-01-14,1282.9000244140625,1293.239990234375,1281.239990234375,1293.239990234375,4661590000,25.422,132.69,93.89,38.92,22.77,68.55
2011-01-18,1293.219970703125,1296.06005859375,1290.1600341796875,1295.02001953125,5284990000,25.46,133.43,93.66,38.73,22.7475,66.464
2011-01-19,1294.52001953125,1294.5999755859375,1278.9200439453125,1281.9200439453125,4743710000,25.49,133.72,93.9,38.54,22.61,69.92
2011-01-20,1280.8499755859375,1283.3499755859375,1271.260009765625,1280.260009765625,4935320000,25.36,131.2,93.17,37.57,22.68,69.31
2011-01-21,1283.6300048828125,1291.2099609375,1282.0699462890625,1283.3499755859375,4935320000,25.4,131.03,93.48,37.51,22.49,69.97
2011-01-24,1283.2900390625,1291.9300537109375,1282.469970703125,1290.8399658203125,3902470000,25.43,130.36,93.49,36.93,22.44,68.46
2011-01-25,1288.1700439453125,1291.260009765625,1281.0699462890625,1291.1800537109375,4595380000,25.33,130.1,93.96,36.27,22.425,67.5894
2011-01-26,1291.969970703125,1299.739990234375,1291.969970703125,1296.6300048828125,4730980000,25.41,131.16,93.39,36.85,22.385,65.48
2011-01-27,1297.510009765625,1301.2900390625,1294.4100341796875,1299.5400390625,4309190000,25.32,127.925,93.74,35.94,22.35,64.25
2011-01-28,1299.6300048828125,1302.6700439453125,1275.0999755859375,1276.3399658203125,5618630000,25.29,130.28,94.17,37.58,22.49,69.6299
2011-01-31,1276.5,1287.1700439453125,1276.5,1286.1199951171875,4167160000,25.301,129.87,93.8,38.61,22.36,69.35
2011-02-01,1289.1400146484375,1308.8599853515625,1289.1400146484375,1307.5899658203125,5164500000,25.4016,130.8,93.13,38.07,22.14,66.05
2011-02-02,1305.9100341796875,1307.6099853515625,1302.6199951171875,1304.030029296875,4098260000,25.46,130.45,92.91,38.18,22.1775,65.78
