,mean,median,std,min,max,q1,q3,iqr
Open,2634.749,2429.2,1029.353,1097.42,4804.51,1861.46,3380.86,1519.4
High,2649.095,2439.27,1035.696,1125.12,4818.62,1873.34,3399.54,1526.2
Low,2619.422,2413.54,1022.738,1074.77,4780.04,1849.69,3366.15,1516.46
Close,2635.274,2429.01,1029.48,1099.23,4796.56,1862.49,3383.54,1521.05
Volume,3890499324.532,3735980000.0,928314382.463,0.0,9976520000.0,3336880000.0,4253920000.0,917040000.0
CPI,26.661,26.67,0.86,23.92,28.52,26.108,27.399,1.29
GLD,142.763,137.97,24.546,100.5,193.89,120.78,166.39,45.61
IEF,106.222,105.8,6.886,88.95,123.06,102.14,109.99,7.85
USO,31.879,32.12,20.762,2.13,91.99,12.28,39.39,27.11
UUP,24.727,24.93,2.226,20.93,30.67,22.548,26.07,3.523
VIXY,25.921,21.24,17.384,5.25,121.95,14.62,29.97,15.35
