,mean,median,std,min,max,q1,q3,iqr
Open,416.46,406.69,156.522,151.73,854.25,297.875,537.518,239.643
High,419.611,410.02,157.566,158.0,857.11,299.688,543.133,243.445
Low,413.316,403.31,155.48,147.66,851.29,295.83,533.512,237.682
Close,416.58,406.745,156.526,153.9,851.98,297.968,537.65,239.682
Volume,119760453.212,4748800.0,162981799.625,0.0,1335046300.0,0.0,254494525.0,254494525.0
VIX,25.289,20.47,17.136,5.25,121.95,14.05,29.545,15.495
US10Y,105.36,105.33,7.295,88.95,123.06,101.27,109.3,8.03
DXY,25.018,25.06,2.384,20.93,30.67,22.71,26.47,3.76
OIL,35.073,33.615,22.895,2.13,91.99,12.74,47.795,35.055
GOLD,148.543,143.88,31.642,100.5,257.5,121.332,169.505,48.172
CPI_US,26.581,26.592,0.872,23.92,28.52,25.89,27.345,1.455
MA_20,414.967,405.914,155.199,162.902,835.314,297.001,539.543,242.541
EMA_20,414.952,406.05,155.028,163.194,830.506,296.699,540.55,243.85
MAE_20,3.721,3.04,2.481,0.62,24.3,2.054,4.767,2.713
MA_60,411.458,403.903,152.336,169.175,806.953,295.947,546.192,250.245
EMA_60,411.563,404.316,152.175,172.084,802.999,296.946,546.999,250.053
MAE_60,3.7,3.134,2.126,1.232,14.902,2.085,4.893,2.808
MA_120,406.577,401.434,148.997,172.689,769.021,296.267,548.107,251.84
EMA_120,406.889,406.148,148.74,177.769,774.447,296.46,552.929,256.469
MAE_120,3.67,3.199,1.912,1.41,10.774,2.17,4.807,2.637
MA_360,389.97,391.161,139.864,192.139,674.712,276.167,468.333,192.166
EMA_360,391.249,397.453,140.069,191.194,698.742,275.185,505.664,230.48
MAE_360,3.605,2.794,1.657,1.676,7.11,2.4,5.229,2.829
MACD,1.216,1.487,6.036,-47.619,18.004,-1.243,4.166,5.41
MACD_long,4.674,4.075,11.229,-31.174,36.936,-0.311,9.681,9.993
Signal,1.222,1.466,5.652,-41.029,16.728,-0.961,3.857,4.818
Signal_long,4.497,4.068,10.35,-25.387,34.841,-0.746,9.171,9.917
RSI_7,54.519,54.872,22.756,0.0,100.0,37.602,71.842,34.24
RSI_14,54.384,54.428,16.284,2.187,96.629,43.066,66.225,23.159
RSI_28,54.048,54.347,11.289,21.404,85.734,46.147,62.215,16.068
RSI_56,53.565,53.652,7.806,29.466,76.278,48.65,58.706,10.056
